location,Price/sqft 2018,Conversion factor for 2019,Price/sqft 2019
Electronic City,"5,903.19",0.06,6274
Electronic City,"9,174.31",0.06,9751
Electronic City,"5,148.01",0.06,5472
Electronic City,"9,285.71",0.06,9869
Electronic City,"3,896.10",0.06,4141
Electronic City,"4,125.16",0.06,4384
Electronic City,"9,523.81",0.06,10122
Electronic City,"5,456.35",0.06,5799
Electronic City,"7,533.30",0.06,8007
Electronic City,"5,437.47",0.06,5779
Electronic City,"4,126.53",0.06,4386
Electronic City,"8,060.52",0.06,8567
Electronic City,"8,010.68",0.06,8514
Electronic City,"8,295.34",0.06,8817
Electronic City,"7,023.81",0.06,7465
Electronic City,"4,124.75",0.06,4384
Electronic City,"8,153.52",0.06,8666
HSR Layout,"10,989.01",0.08,11860
Electronic City,"5,251.31",0.06,5581
Electronic City,"7,343.12",0.06,7805
Electronic City,"7,816.71",0.06,8308
Electronic City,"7,540.07",0.06,8014
Electronic City,"7,178.01",0.06,7629
Electronic City,"4,524.89",0.06,4809
Electronic City,"3,896.10",0.06,4141
Indira Nagar,"16,338.26",0.1,18037
Electronic City,"3,246.75",0.06,3451
Electronic City,"5,857.14",0.06,6225
Electronic City,"7,428.57",0.06,7895
Electronic City,"6,986.22",0.06,7425
Electronic City,"8,163.27",0.06,8676
HSR Layout,"8,123.98",0.08,8768
Electronic City,"9,859.02",0.06,10479
Electronic City,"4,125.41",0.06,4385
Electronic City,"7,365.08",0.06,7828
Electronic City,"4,591.09",0.06,4880
Electronic City,"9,161.00",0.06,9737
Electronic City,"3,463.20",0.06,3681
Electronic City,"6,217.94",0.06,6609
Electronic City,"4,242.86",0.06,4510
Electronic City,"7,452.38",0.06,7921
Electronic City,"8,280.05",0.06,8800
Electronic City,"5,190.31",0.06,5517
Electronic City,"4,126.05",0.06,4385
Electronic City,"8,657.81",0.06,9202
Electronic City,"4,125.62",0.06,4385
Electronic City,"8,320.67",0.06,8844
Electronic City,"4,029.30",0.06,4283
Electronic City,"6,873.32",0.06,7305
Electronic City,"3,850.05",0.06,4092
Electronic City,"8,658.01",0.06,9202
Electronic City,"4,124.65",0.06,4384
Electronic City,"6,829.27",0.06,7258
Electronic City,"7,995.74",0.06,8498
Electronic City,"4,242.86",0.06,4510
Electronic City,"8,873.11",0.06,9431
Electronic City,"4,125.71",0.06,4385
Electronic City,"4,124.75",0.06,4384
Electronic City,"7,743.66",0.06,8230
Electronic City,"6,375.44",0.06,6776
Electronic City,"7,142.86",0.06,7592
Electronic City,"3,928.92",0.06,4176
Electronic City,"6,942.59",0.06,7379
Electronic City,"7,980.85",0.06,8482
Electronic City,"3,354.98",0.06,3566
Electronic City,"4,126.98",0.06,4386
Hebbal,"4,968.94",0.04,5189
Electronic City,"4,125.08",0.06,4384
Electronic City,"5,285.25",0.06,5617
Electronic City,"7,988.28",0.06,8490
Electronic City,"7,428.57",0.06,7895
Electronic City,"7,430.80",0.06,7898
Electronic City,"6,275.03",0.06,6669
Electronic City,"2,951.59",0.06,3137
Electronic City,"7,164.90",0.06,7615
Electronic City,"8,888.47",0.06,9447
Electronic City,"4,125.00",0.06,4384
Electronic City,"5,285.45",0.06,5618
Electronic City,"3,792.67",0.06,4031
Electronic City,"4,125.16",0.06,4384
Electronic City,"5,141.57",0.06,5465
Electronic City,"7,512.20",0.06,7984
Electronic City,"8,206.69",0.06,8722
Electronic City,"7,380.95",0.06,7845
Electronic City,"7,007.09",0.06,7447
Electronic City,"7,063.78",0.06,7508
Electronic City,"4,047.62",0.06,4302
Electronic City,"5,714.29",0.06,6073
Electronic City,"6,000.00",0.06,6377
Electronic City,"6,874.74",0.06,7307
Electronic City,"7,402.60",0.06,7868
Electronic City,"5,440.70",0.06,5783
Electronic City,"3,896.10",0.06,4141
Electronic City,"8,105.37",0.06,8615
Electronic City,"4,683.84",0.06,4978
Electronic City,"7,076.10",0.06,7521
Electronic City,"3,711.50",0.06,3945
Electronic City,"4,642.86",0.06,4935
Electronic City,"7,547.51",0.06,8022
Electronic City,"4,285.71",0.06,4555
Electronic City,"4,125.51",0.06,4385
Electronic City,"6,984.13",0.06,7423
Electronic City,"9,512.28",0.06,10110
Electronic City,"4,125.54",0.06,4385
Electronic City,"4,125.82",0.06,4385
Electronic City,"5,306.12",0.06,5640
Electronic City,"8,305.47",0.06,8827
Electronic City,"10,289.93",0.06,10937
Electronic City,"8,282.67",0.06,8803
Electronic City,"5,083.42",0.06,5403
Electronic City,"5,158.73",0.06,5483
Electronic City,"4,720.50",0.06,5017
Electronic City,"7,685.82",0.06,8169
Electronic City,"4,407.18",0.06,4684
Electronic City,"3,571.43",0.06,3796
Electronic City,"4,125.29",0.06,4385
Electronic City,"2,380.95",0.06,2531
Electronic City,"4,347.83",0.06,4621
Electronic City,"4,125.08",0.06,4384
Electronic City,"10,210.42",0.06,10852
Electronic City,"6,493.51",0.06,6902
Electronic City,"4,124.65",0.06,4384
Electronic City,"6,606.11",0.06,7021
Electronic City,"5,714.29",0.06,6073
Electronic City,"5,007.36",0.06,5322
Electronic City,"6,990.34",0.06,7430
Electronic City,"8,122.74",0.06,8633
HSR Layout,"12,143.47",0.08,13106
Electronic City,"5,324.68",0.06,5659
Electronic City,"4,688.64",0.06,4983
Electronic City,"4,378.28",0.06,4653
Electronic City,"6,408.54",0.06,6811
Electronic City,"5,172.41",0.06,5497
Electronic City,"7,352.94",0.06,7815
Electronic City,"8,289.01",0.06,8810
Electronic City,"6,420.55",0.06,6824
Electronic City,"4,124.75",0.06,4384
Electronic City,"4,056.28",0.06,4311
Electronic City,"6,060.61",0.06,6441
Electronic City,"4,821.43",0.06,5124
Electronic City,"6,092.44",0.06,6475
Electronic City,"4,127.55",0.06,4387
Electronic City,"4,126.09",0.06,4385
Electronic City,"4,126.83",0.06,4386
Electronic City,"5,172.41",0.06,5497
Electronic City,"3,571.43",0.06,3796
Electronic City,"9,183.67",0.06,9761
Electronic City,"6,105.01",0.06,6489
Electronic City,"9,709.29",0.06,10319
Electronic City,"8,761.08",0.06,9312
Electronic City,"6,968.64",0.06,7407
Electronic City,"4,240.60",0.06,4507
Electronic City,"7,343.12",0.06,7805
Electronic City,"7,664.47",0.06,8146
Electronic City,"7,843.14",0.06,8336
Electronic City,"5,035.25",0.06,5352
Electronic City,"7,050.09",0.06,7493
Electronic City,"4,125.00",0.06,4384
Electronic City,"5,653.16",0.06,6008
Electronic City,"5,135.14",0.06,5458
Electronic City,"5,286.12",0.06,5618
Electronic City,"4,978.35",0.06,5291
Electronic City,"8,045.71",0.06,8551
Electronic City,"7,085.71",0.06,7531
Electronic City,"4,239.50",0.06,4506
Electronic City,"4,125.44",0.06,4385
Electronic City,"8,206.69",0.06,8722
Hebbal,"11,208.79",0.04,11705
Electronic City,"4,127.63",0.06,4387
Electronic City,"4,125.29",0.06,4385
Electronic City,"7,412.40",0.06,7878
Electronic City,"4,278.57",0.06,4547
Electronic City,"3,940.89",0.06,4189
Electronic City,"7,107.00",0.06,7554
Electronic City,"7,058.16",0.06,7502
Electronic City,"4,125.31",0.06,4385
Electronic City,"4,125.71",0.06,4385
HSR Layout,"13,978.19",0.08,15086
Electronic City,"7,412.40",0.06,7878
Electronic City,"4,126.19",0.06,4386
Electronic City,"7,918.91",0.06,8417
Electronic City,"3,896.10",0.06,4141
Electronic City,"8,485.31",0.06,9019
Electronic City,"7,610.15",0.06,8088
Electronic City,"7,563.03",0.06,8038
Electronic City,"5,400.58",0.06,5740
Electronic City,"6,930.09",0.06,7366
HSR Layout,"6,856.15",0.08,7399
Electronic City,"6,493.51",0.06,6902
Hebbal,"13,642.56",0.04,14247
Electronic City,"8,010.68",0.06,8514
Electronic City,"4,126.53",0.06,4386
Electronic City,"5,042.02",0.06,5359
BTM Layout,"4,166.67",0.04,4315
Electronic City,"3,084.42",0.06,3278
Electronic City,"4,730.43",0.06,5028
Electronic City,"4,155.84",0.06,4417
Electronic City,"8,580.27",0.06,9120
Electronic City,"4,126.30",0.06,4386
Electronic City,"7,956.01",0.06,8456
Electronic City,"5,154.64",0.06,5479
BTM Layout,"5,714.29",0.04,5918
Electronic City,"6,952.38",0.06,7389
Electronic City,"6,891.60",0.06,7325
Electronic City,"9,580.58",0.06,10183
Electronic City,"4,125.54",0.06,4385
Electronic City,"4,155.84",0.06,4417
Electronic City,"8,042.05",0.06,8547
Electronic City,"3,572.06",0.06,3797
Electronic City,"5,194.81",0.06,5521
Hebbal,"7,341.51",0.04,7667
Electronic City,"8,571.43",0.06,9110
Electronic City,"6,408.54",0.06,6811
Electronic City,"7,526.13",0.06,7999
Electronic City,"6,666.67",0.06,7086
Electronic City,"6,142.86",0.06,6529
Electronic City,"4,126.57",0.06,4386
Electronic City,"3,714.29",0.06,3948
Electronic City,"7,696.36",0.06,8180
Electronic City,"6,826.68",0.06,7256
Electronic City,"7,008.09",0.06,7449
Hebbal,"9,983.77",0.04,10426
BTM Layout,"6,408.54",0.04,6637
Hebbal,"8,947.37",0.04,9344
Electronic City,"4,352.56",0.06,4626
Hebbal,"10,399.24",0.04,10860
Electronic City,"6,008.01",0.06,6386
Hebbal,"10,551.95",0.04,11019
Hebbal,"14,583.33",0.04,15229
Hebbal,"10,766.05",0.04,11243
Hebbal,"9,970.24",0.04,10412
Hebbal,"14,285.71",0.04,14918
Hebbal,"8,761.62",0.04,9150
Hebbal,"10,378.06",0.04,10838
Hebbal,"6,428.57",0.04,6713
Hebbal,"6,894.65",0.04,7200
Electronic City,"3,571.43",0.06,3796
Hebbal,"8,842.34",0.04,9234
Hebbal,"8,842.38",0.04,9234
Hebbal,"10,135.67",0.04,10584
Hebbal,"6,209.30",0.04,6484
Hebbal,"13,602.02",0.04,14204
Hebbal,"7,142.86",0.04,7459
Hebbal,"6,493.51",0.04,6781
Hebbal,"9,676.28",0.04,10105
Hebbal,"6,910.30",0.04,7216
Hebbal,"6,868.13",0.04,7172
Hebbal,"14,138.67",0.04,14765
Hebbal,"8,842.34",0.04,9234
Hebbal,"6,151.88",0.04,6424
Hebbal,"12,374.25",0.04,12922
Hebbal,"6,117.87",0.04,6389
Hebbal,"6,318.68",0.04,6598
Hebbal,"9,998.99",0.04,10442
Electronic City,"4,125.41",0.06,4385
Hebbal,"6,103.90",0.04,6374
Electronic City,"4,142.86",0.06,4403
Electronic City,"4,242.86",0.06,4510
Hebbal,"10,420.17",0.04,10882
Hebbal,"6,912.44",0.04,7219
Hebbal,"6,512.01",0.04,6800
Hebbal,"9,998.99",0.04,10442
Hebbal,"8,842.38",0.04,9234
Hebbal,"11,408.73",0.04,11914
Hebbal,"7,012.99",0.04,7324
Hebbal,"8,842.38",0.04,9234
Hebbal,"16,122.45",0.04,16836
Hebbal,"10,714.29",0.04,11189
Hebbal,"8,842.34",0.04,9234
HSR Layout,"12,241.86",0.08,13212
Hebbal,"10,764.59",0.04,11241
Hebbal,"9,956.71",0.04,10398
Hebbal,"7,616.97",0.04,7954
Hebbal,"11,723.84",0.04,12243
Hebbal,"12,019.23",0.04,12551
Electronic City,"4,962.41",0.06,5274
Hebbal,"8,842.38",0.04,9234
Hebbal,"10,714.29",0.04,11189
Hebbal,"10,160.66",0.04,10611
Hebbal,"10,132.47",0.04,10581
Hebbal,"10,508.03",0.04,10973
Hebbal,"9,983.77",0.04,10426
Hebbal,"10,421.19",0.04,10883
Electronic City,"7,446.81",0.06,7915
BTM Layout,"8,928.57",0.04,9247
Hebbal,"10,244.74",0.04,10698
Hebbal,"10,160.66",0.04,10611
Hebbal,"8,842.34",0.04,9234
Hebbal,"8,106.65",0.04,8466
Hebbal,"10,391.20",0.04,10851
Hebbal,"17,451.30",0.04,18224
Hebbal,"11,984.13",0.04,12515
Hebbal,"10,813.89",0.04,11293
Hebbal,"6,454.39",0.04,6740
Hebbal,"8,217.94",0.04,8582
BTM Layout,"9,090.91",0.04,9415
Hebbal,"10,813.89",0.04,11293
Hebbal,"8,068.54",0.04,8426
Hebbal,"10,356.88",0.04,10815
Hebbal,"8,842.34",0.04,9234
Hebbal,"11,479.59",0.04,11988
Hebbal,"24,458.87",0.04,25542
Hebbal,"10,244.74",0.04,10698
Hebbal,"8,842.34",0.04,9234
Electronic City,"7,620.90",0.06,8100
Hebbal,"13,808.69",0.04,14420
Hebbal,"6,348.57",0.04,6630
Hebbal,"5,833.33",0.04,6092
Hebbal,"8,140.76",0.04,8501
Hebbal,"11,862.82",0.04,12388
Hebbal,"10,997.47",0.04,11484
Hebbal,"7,142.86",0.04,7459
Hebbal,"10,160.66",0.04,10611
Hebbal,"17,192.98",0.04,17954
Hebbal,"9,763.62",0.04,10196
Hebbal,"10,716.96",0.04,11191
Hebbal,"5,339.35",0.04,5576
Hebbal,"8,842.38",0.04,9234
Hebbal,"10,727.76",0.04,11203
Hebbal,"14,409.94",0.04,15048
Hebbal,"5,512.17",0.04,5756
Hebbal,"11,111.11",0.04,11603
Hebbal,"7,296.47",0.04,7620
Hebbal,"6,190.48",0.04,6465
Hebbal,"10,813.89",0.04,11293
Hebbal,"11,145.64",0.04,11639
Hebbal,"10,160.66",0.04,10611
Hebbal,"10,934.07",0.04,11418
Electronic City,"7,169.61",0.06,7620
Electronic City,"6,453.88",0.06,6859
Hebbal,"10,302.71",0.04,10759
Hebbal,"7,593.31",0.04,7930
Hebbal,"6,190.48",0.04,6465
Hebbal,"8,992.02",0.04,9390
Hebbal,"9,848.48",0.04,10285
Hebbal,"11,665.47",0.04,12182
Hebbal,"7,554.95",0.04,7889
Hebbal,"7,061.38",0.04,7374
Hebbal,"6,832.30",0.04,7135
Hebbal,"10,714.29",0.04,11189
Hebbal,"6,910.30",0.04,7216
Electronic City,"7,502.00",0.06,7973
Hebbal,"5,454.55",0.04,5696
Hebbal,"5,714.29",0.04,5967
Hebbal,"4,935.06",0.04,5154
Hebbal,"14,304.05",0.04,14937
Hebbal,"9,813.29",0.04,10248
Hebbal,"6,571.43",0.04,6862
Hebbal,"8,842.38",0.04,9234
Hebbal,"9,998.99",0.04,10442
Hebbal,"8,625.34",0.04,9007
Hebbal,"12,987.01",0.04,13562
Hebbal,"5,996.80",0.04,6262
Hebbal,"8,482.91",0.04,8859
Hebbal,"7,792.21",0.04,8137
Hebbal,"10,667.55",0.04,11140
Hebbal,"8,842.34",0.04,9234
Electronic City,"4,126.53",0.06,4386
Hebbal,"10,160.66",0.04,10611
Electronic City,"8,389.06",0.06,8916
Electronic City,"7,058.67",0.06,7502
Hebbal,"9,970.24",0.04,10412
Hebbal,"9,740.26",0.04,10172
Hebbal,"11,160.71",0.04,11655
Hebbal,"9,985.92",0.04,10428
Hebbal,"10,497.49",0.04,10962
BTM Layout,"7,327.99",0.04,7589
Hebbal,"7,253.50",0.04,7575
Hebbal,"12,695.96",0.04,13258
Hebbal,"7,080.75",0.04,7394
Hebbal,"11,247.95",0.04,11746
Hebbal,"8,491.51",0.04,8868
Hebbal,"14,304.05",0.04,14937
Hebbal,"13,323.02",0.04,13913
Hebbal,"13,904.76",0.04,14520
Electronic City,"4,125.62",0.06,4385
Hebbal,"10,378.06",0.04,10838
Hebbal,"10,250.98",0.04,10705
HSR Layout,"5,714.29",0.08,6167
HSR Layout,"7,080.38",0.08,7641
HSR Layout,"6,493.51",0.08,7008
HSR Layout,"7,263.92",0.08,7840
HSR Layout,"12,987.01",0.08,14016
HSR Layout,"5,355.93",0.08,5780
HSR Layout,"5,764.41",0.08,6221
Electronic City,"6,593.41",0.06,7008
HSR Layout,"6,351.52",0.08,6855
HSR Layout,"7,755.10",0.08,8370
HSR Layout,"5,304.10",0.08,5724
HSR Layout,"6,120.46",0.08,6605
HSR Layout,"9,523.81",0.08,10278
HSR Layout,"5,764.41",0.08,6221
HSR Layout,"6,351.52",0.08,6855
Electronic City,"4,736.30",0.06,5034
HSR Layout,"5,764.41",0.08,6221
HSR Layout,"7,233.27",0.08,7806
HSR Layout,"8,619.60",0.08,9303
HSR Layout,"10,267.86",0.08,11081
HSR Layout,"5,988.77",0.08,6463
HSR Layout,"7,928.64",0.08,8557
HSR Layout,"10,769.23",0.08,11623
HSR Layout,"5,238.10",0.08,5653
HSR Layout,"5,764.41",0.08,6221
Electronic City,"3,541.00",0.06,3764
HSR Layout,"8,754.12",0.08,9448
Electronic City,"6,030.15",0.06,6409
HSR Layout,"5,567.23",0.08,6008
HSR Layout,"5,764.41",0.08,6221
HSR Layout,"5,739.24",0.08,6194
BTM Layout,"8,285.71",0.04,8581
HSR Layout,"8,131.10",0.08,8775
HSR Layout,"5,739.24",0.08,6194
HSR Layout,"11,315.42",0.08,12212
HSR Layout,"7,359.78",0.08,7943
HSR Layout,"8,550.05",0.08,9228
HSR Layout,"5,764.41",0.08,6221
HSR Layout,"5,764.41",0.08,6221
Electronic City,"3,714.29",0.06,3948
HSR Layout,"5,739.24",0.08,6194
HSR Layout,"7,928.64",0.08,8557
HSR Layout,"5,739.24",0.08,6194
HSR Layout,"5,714.29",0.08,6167
HSR Layout,"7,125.04",0.08,7690
HSR Layout,"12,129.38",0.08,13091
HSR Layout,"8,928.57",0.08,9636
HSR Layout,"5,764.41",0.08,6221
HSR Layout,"7,757.95",0.08,8373
Hebbal,"7,585.34",0.04,7921
HSR Layout,"6,894.95",0.08,7441
HSR Layout,"7,125.04",0.08,7690
HSR Layout,"5,764.41",0.08,6221
Electronic City,"7,513.23",0.06,7985
Indira Nagar,"11,071.43",0.1,12223
Indira Nagar,"13,297.87",0.1,14681
Indira Nagar,"16,836.73",0.1,18587
Indira Nagar,"17,316.02",0.1,19116
Indira Nagar,"9,600.00",0.1,10598
Indira Nagar,"12,042.50",0.1,13295
Indira Nagar,"12,254.90",0.1,13529
Indira Nagar,"15,527.95",0.1,17142
Electronic City,"5,536.33",0.06,5884
Indira Nagar,"17,142.86",0.1,18925
Indira Nagar,"12,183.98",0.1,13451
Indira Nagar,"12,476.61",0.1,13774
Indira Nagar,"16,520.89",0.1,18239
Indira Nagar,"17,142.86",0.1,18925
Indira Nagar,"17,136.27",0.1,18918
Indira Nagar,"11,337.87",0.1,12517
Indira Nagar,"15,681.44",0.1,17312
Indira Nagar,"19,047.62",0.1,21028
Electronic City,"4,125.71",0.06,4385
Electronic City,"4,125.71",0.06,4385
Indira Nagar,"12,605.04",0.1,13916
Indira Nagar,"16,561.74",0.1,18284
Indira Nagar,"11,428.57",0.1,12617
Indira Nagar,"10,389.61",0.1,11470
Indira Nagar,"17,316.02",0.1,19116
Indira Nagar,"13,605.44",0.1,15020
Electronic City,"4,125.71",0.06,4385
Indira Nagar,"16,163.12",0.1,17844
Electronic City,"7,150.04",0.06,7599
BTM Layout,"5,400.10",0.04,5592
Indira Nagar,"12,987.01",0.1,14337
Electronic City,"3,714.29",0.06,3948
Koramangala,"8,716.71",0.02,8921
Koramangala,"17,857.14",0.02,18277
Koramangala,"11,629.23",0.02,11902
Koramangala,"14,466.55",0.02,14806
Koramangala,"10,612.24",0.02,10862
Koramangala,"8,290.82",0.02,8486
Koramangala,"15,636.11",0.02,16003
Koramangala,"17,140.36",0.02,17543
Koramangala,"12,066.95",0.02,12350
Koramangala,"11,074.20",0.02,11334
Koramangala,"12,087.91",0.02,12372
Koramangala,"7,857.14",0.02,8042
Electronic City,"7,343.77",0.06,7805
Koramangala,"11,688.31",0.02,11963
Koramangala,"12,830.19",0.02,13132
Electronic City,"4,285.71",0.06,4555
Koramangala,"9,423.56",0.02,9645
Koramangala,"11,337.87",0.02,11604
Electronic City,"8,163.27",0.06,8676
Koramangala,"15,189.87",0.02,15547
Koramangala,"15,037.59",0.02,15391
Koramangala,"10,612.24",0.02,10862
Koramangala,"17,825.98",0.02,18245
Electronic City,"4,072.03",0.06,4328
Koramangala,"18,012.42",0.02,18436
Koramangala,"11,202.72",0.02,11466
Electronic City,"4,142.19",0.06,4403
Koramangala,"9,334.42",0.02,9554
Koramangala,"11,278.20",0.02,11543
Koramangala,"16,233.77",0.02,16615
Koramangala,"11,904.76",0.02,12184
Koramangala,"10,172.49",0.02,10411
Electronic City,"4,285.71",0.06,4555
Koramangala,"19,081.54",0.02,19530
Koramangala,"9,010.99",0.02,9223
Koramangala,"9,573.76",0.02,9799
Koramangala,"12,857.14",0.02,13159
Koramangala,"13,190.87",0.02,13501
Koramangala,"16,382.70",0.02,16768
Koramangala,"7,558.58",0.02,7736
Koramangala,"15,496.37",0.02,15860
Koramangala,"17,316.02",0.02,17723
Electronic City,"6,056.62",0.06,6437
Koramangala,"13,034.41",0.02,13341
Koramangala,"11,038.96",0.02,11298
Koramangala,"7,856.53",0.02,8041
Koramangala,"18,872.24",0.02,19316
Koramangala,"23,589.88",0.02,24144
Electronic City,"7,378.03",0.06,7842
Koramangala,"11,904.76",0.02,12184
Koramangala,"10,797.34",0.02,11051
Electronic City,"7,529.18",0.06,8002
Koramangala,"9,022.56",0.02,9235
Electronic City,"7,146.80",0.06,7596
Koramangala,"7,964.60",0.02,8152
Koramangala,"19,278.97",0.02,19732
Electronic City,"4,126.62",0.06,4386
Koramangala,"17,201.83",0.02,17606
Koramangala,"18,756.70",0.02,19197
Koramangala,"8,022.92",0.02,8211
Koramangala,"17,316.02",0.02,17723
Koramangala,"10,899.47",0.02,11156
Electronic City,"4,037.27",0.06,4291
Koramangala,"10,005.22",0.02,10240
Koramangala,"17,316.02",0.02,17723
Koramangala,"17,543.86",0.02,17956
Koramangala,"21,008.40",0.02,21502
Koramangala,"10,015.81",0.02,10251
Koramangala,"15,178.57",0.02,15535
Koramangala,"11,337.87",0.02,11604
Koramangala,"11,219.15",0.02,11483
Koramangala,"23,141.97",0.02,23686
Electronic City,"7,900.30",0.06,8397
Koramangala,"12,500.00",0.02,12794
HSR Layout,"6,250.00",0.08,6745
Electronic City,"4,240.60",0.06,4507
Electronic City,"7,114.29",0.06,7561
Hebbal,"13,664.60",0.04,14270
Electronic City,"7,179.19",0.06,7630
HSR Layout,"9,438.01",0.08,10186
Electronic City,"6,737.37",0.06,7161
Electronic City,"12,543.55",0.06,13332
Electronic City,"7,416.70",0.06,7883
Electronic City,"6,530.61",0.06,6941
BTM Layout,"6,211.18",0.04,6432
Electronic City,"4,125.71",0.06,4385
Marathahalli,"6,897.49",0.04,7171
Electronic City,"4,125.41",0.06,4385
Marathahalli,"6,674.47",0.04,6939
Marathahalli,"6,190.48",0.04,6436
Marathahalli,"7,142.86",0.04,7426
Marathahalli,"10,346.61",0.04,10757
Marathahalli,"7,061.65",0.04,7342
Marathahalli,"9,291.52",0.04,9660
Marathahalli,"6,988.64",0.04,7266
Marathahalli,"7,877.72",0.04,8190
Electronic City,"8,253.97",0.06,8773
Marathahalli,"5,395.17",0.04,5609
BTM Layout,"14,285.71",0.04,14794
Marathahalli,"6,471.31",0.04,6728
Marathahalli,"6,990.05",0.04,7268
Marathahalli,"7,714.29",0.04,8020
Marathahalli,"6,615.93",0.04,6879
Marathahalli,"7,074.83",0.04,7356
Marathahalli,"11,800.28",0.04,12269
Electronic City,"5,672.27",0.06,6029
Marathahalli,"6,944.44",0.04,7220
Marathahalli,"7,985.80",0.04,8303
Hebbal,"10,898.73",0.04,11381
Marathahalli,"8,726.00",0.04,9072
Marathahalli,"8,655.06",0.04,8999
Marathahalli,"5,959.48",0.04,6196
Electronic City,"7,557.60",0.06,8033
Marathahalli,"6,956.12",0.04,7232
Electronic City,"7,664.96",0.06,8147
Marathahalli,"7,608.70",0.04,7911
Marathahalli,"6,560.85",0.04,6821
Marathahalli,"6,874.68",0.04,7148
Electronic City,"4,240.05",0.06,4507
Marathahalli,"7,001.04",0.04,7279
Marathahalli,"9,475.68",0.04,9852
Marathahalli,"7,619.05",0.04,7921
Marathahalli,"6,747.32",0.04,7015
Marathahalli,"6,969.45",0.04,7246
Marathahalli,"6,920.63",0.04,7195
Marathahalli,"6,957.48",0.04,7234
Marathahalli,"9,248.12",0.04,9615
Electronic City,"4,125.31",0.06,4385
Marathahalli,"8,202.32",0.04,8528
Indira Nagar,"6,547.62",0.1,7228
Marathahalli,"7,553.37",0.04,7853
Marathahalli,"6,920.63",0.04,7195
Marathahalli,"7,639.98",0.04,7943
Marathahalli,"7,523.01",0.04,7822
Marathahalli,"8,278.15",0.04,8607
Marathahalli,"11,478.12",0.04,11934
Electronic City,"5,120.33",0.06,5442
Marathahalli,"9,919.14",0.04,10313
Marathahalli,"8,430.91",0.04,8766
Marathahalli,"10,325.25",0.04,10735
Marathahalli,"7,649.77",0.04,7953
Marathahalli,"9,100.53",0.04,9462
Electronic City,"5,714.29",0.06,6073
Marathahalli,"7,015.97",0.04,7294
Marathahalli,"6,620.21",0.04,6883
BTM Layout,"16,700.92",0.04,17296
Marathahalli,"6,904.76",0.04,7179
Marathahalli,"7,484.85",0.04,7782
Marathahalli,"9,836.66",0.04,10227
Indira Nagar,"11,466.79",0.1,12659
Marathahalli,"6,967.44",0.04,7244
Marathahalli,"10,819.33",0.04,11249
Marathahalli,"6,850.12",0.04,7122
Marathahalli,"6,869.17",0.04,7142
Marathahalli,"8,060.90",0.04,8381
Marathahalli,"9,417.99",0.04,9792
Marathahalli,"7,983.19",0.04,8300
Marathahalli,"5,928.37",0.04,6164
Marathahalli,"7,857.14",0.04,8169
Marathahalli,"8,354.22",0.04,8686
Marathahalli,"6,862.75",0.04,7135
Marathahalli,"8,520.93",0.04,8859
Marathahalli,"5,758.58",0.04,5987
Marathahalli,"8,891.52",0.04,9244
Marathahalli,"9,083.40",0.04,9444
Marathahalli,"10,378.12",0.04,10790
Marathahalli,"5,000.00",0.04,5198
HSR Layout,"11,525.97",0.08,12439
Marathahalli,"7,976.19",0.04,8293
Marathahalli,"7,827.79",0.04,8139
Marathahalli,"6,469.00",0.04,6726
Electronic City,"6,079.03",0.06,6461
Marathahalli,"8,843.54",0.04,9195
Marathahalli,"6,957.48",0.04,7234
Marathahalli,"6,954.89",0.04,7231
Marathahalli,"7,267.30",0.04,7556
Marathahalli,"6,908.67",0.04,7183
Electronic City,"8,605.85",0.06,9147
Marathahalli,"7,793.09",0.04,8102
Marathahalli,"7,332.49",0.04,7624
Electronic City,"5,632.79",0.06,5987
Marathahalli,"8,354.22",0.04,8686
Marathahalli,"11,160.71",0.04,11604
Marathahalli,"8,928.57",0.04,9283
Marathahalli,"8,900.52",0.04,9254
Marathahalli,"5,178.57",0.04,5384
Marathahalli,"9,274.12",0.04,9642
Marathahalli,"8,655.06",0.04,8999
Electronic City,"4,755.56",0.06,5054
Marathahalli,"7,065.50",0.04,7346
Marathahalli,"9,805.58",0.04,10195
Marathahalli,"7,377.60",0.04,7670
Marathahalli,"10,547.63",0.04,10966
Marathahalli,"10,547.63",0.04,10966
Marathahalli,"6,915.91",0.04,7190
Marathahalli,"7,881.77",0.04,8195
Marathahalli,"8,415.24",0.04,8749
Marathahalli,"9,496.28",0.04,9873
Marathahalli,"5,979.56",0.04,6217
Marathahalli,"6,925.00",0.04,7200
Marathahalli,"6,984.13",0.04,7261
Marathahalli,"8,424.91",0.04,8759
HSR Layout,"7,558.58",0.08,8158
Marathahalli,"7,771.43",0.04,8080
Hebbal,"12,698.41",0.04,13261
Marathahalli,"7,212.70",0.04,7499
Marathahalli,"9,523.81",0.04,9902
Electronic City,"4,481.79",0.06,4763
Marathahalli,"6,309.52",0.04,6560
Marathahalli,"14,880.95",0.04,15472
Indira Nagar,"8,510.64",0.1,9396
Marathahalli,"7,015.97",0.04,7294
Marathahalli,"6,764.57",0.04,7033
Marathahalli,"6,349.21",0.04,6601
Electronic City,"3,841.74",0.06,4083
Marathahalli,"10,476.19",0.04,10892
Marathahalli,"6,894.22",0.04,7168
Marathahalli,"14,534.88",0.04,15112
Electronic City,"4,962.41",0.06,5274
Marathahalli,"6,114.51",0.04,6357
Hebbal,"11,020.41",0.04,11508
HSR Layout,"11,878.37",0.08,12820
